!xóõ	k o
'k	ə k
maansverduistering	ˈm a n s v ə ɹ ˌd œː ʏ s t ə ɹ ɪ ŋ
maanvis	m a n v ɪ s
maanzaad	ˈm a n z a t
maanziek	m a n z i k
maar	m a ɹ
maarheeze	m a ɹ h e z ə
maarhuizen	m a ɹ h œː y z ə
maarn	m a ɹ n
maarschalk	m a ɹ s x ɑ l k
maarsstee	m a ɹ s s t e
maarsveld	m a ɹ s v ɛ l t
maarswold	m a ɹ s w ɔ l t
maart	m a ɹ t
maarte	ˈm a ɹ t ə
maarten	ˈm a ɹ t ə n
maarts	m a ɹ t s
maarwold	m a ɹ w ɔ l t
maas	m a s
maasakker	m a s ɑ k ə ɹ
maasband	m a s b ɑ n t
maasbommel	m a s b ɔ m ə l
maasbracht	m a s b ɹ ɑ x t
maasbree	m a s b ɹ e
maasdal	m a s d ɑ l
maasdriel	m a s d ɹ i l
maaseik	m a s ɛ ɪ k
maasgouw	m a s ɣ ɑ w
maashees	m a s h e s
maaskant	m a s k ɑ n t
maaskantje	m a s k ɑ n t j ə
maasniel	m a s n i l
maasoever	m a s u v ə ɹ
maaspoort	m a s p o ɹ t
maassluis	m a s s l œː y s
maasstroom	m a s s t ɹ o m
maastricht	m a s ˈt ɹ ɪ x
maastrichtien	m a s t ɹ ɪ x ˈt i n
maastrichts	m a s ˈt ɹ ɪ x t s
maastrichtse	m a s ˈt ɹ ɪ x t s ə
maasvallei	m a s v ɑ l ɛ ɪ
maat	m a t
maatcilinder	m a t s i l ɪ n d ə ɹ
maatje	ˈm a c ə
maatpak	m a t p ɑ k
maatregel	m a t ɹ e ɣ ə l
maatschap	m a t s x ɑ p
maatschappelijk	m a t s x ɑ p ə l ə k
maatschappij	m a t s x ɑ p ɛ ɪ
maatschappijleer	m a t s x ɑ p ɛ ɪ l e ɹ
maatsehei	m a t s ə h ɛ ɪ
maatstaf	ˈm a t s t ɑ f
maatwerk	m a t w ɛ ɹ k
maatwoord	m a t w o ɹ t
maba	ˈm a b a
macaber	m a k a b ə ɹ
macaron	m ɑ k ɑ ɹ ɔ n
macaroni	m a k a ˈɹ o n i
macaroni's	m a k a ˈɹ o n i s
macaronietje	m a k a ˈɹ o n i c ə
macaronietjes	m a k a ˈɹ o n i c ə s
macaronipinguïn	m a k a ɹ o n i p ɪ ŋ ɡ w ɪ n
macarons	m ɑ k ɑ ɹ ɔ n s
macedonisch	m ɑ s ə d o n i s
macedonische	ˌm a s ə ˈd o n i s ə
macedonië	ˌm a s ə ˈd o n i j ə
macedoniër	ˌm a s ə ˈd o n i j ə ɹ
machanee	m ɑ x a ˈn e
machanot	m ɑ x a ˈn ɔ t
macharen	m ɑ x a ɹ ə
macher	ˈm ɑ x ə ɹ
machers	ˈm ɑ x ə ɹ s
machete	m ɑ ˈʃ ɛ t ə
machien	m ɑ ʃ i n
machinaal	m a ʃ i n a l
machine	m ɑ ˈʃ i n ə
machinegeweer	m a ʃ i n ə ɣ ə w e ɹ
machinelearning	m ə ʃ i n l ʏ ɹ n ɪ ŋ
machinerie	m ɑ ʃ i n ə ɹ i
machines	m ɑ ˈʃ i n ʏ s
machinist	m ɑ ʃ i n ɪ s t
machiriet	m ɑ x i ˈɹ i t
machirieten	m ɑ x i ˈɹ i t ə n
machloukes	m ɑ x ˈl ɑu k ə s
macho	m ɑ t ʃ o
machpela	m ɑ x p e ˈl a
macht	m ɑ x t
machteld	m ɑ x t ə l t
machteloos	m ɑ x t ə l o s
machteloosheid	m ɑ x t ə l o s h ɛ ɪ t
machten	ˈm ɑ x t ə n
machtig	ˈm ɑ x t ə x
machtiging	m ɑ x t ə ɣ ɪ ŋ
machtsaanspraak	m ɑ x t s a n s p ɹ a k
machtsbasis	m ɑ x t s b a z ɪ s
machtsbelust	m ɑ x t s b ə l ʏ s t
machtscenakel	ˈm ɑ ɣ t s ə ˌn a k ə l
machtsfactor	m ɑ x t s f ɑ k t ɔ ɹ
machtsgeil	m ɑ x t s x ɛ ɪ l
machtsgreep	ˈm ɑ x t s x ɹ e p
machtsmisbruik	m ɑ x t s m ɪ s b ɹ œː y k
machtsovername	m ɑ x t s o v ə ɹ n a m ə
machtspartij	m ɑ x t s p ɑ ɹ t ɛ ɪ
machtssfeer	m ɑ x t s f e ɹ
machtsstrijd	m ɑ x s t ɹ ɛ ɪ t
machtsuitbreiding	m ɑ x t s œː y t b ɹ ɛ ɪ d ɪ ŋ
machtsvacuüm	m ɑ x t s v a k y ʏ m
machtsverheffing	m ɑ x t s v ə ɹ h ɛ f ɪ ŋ
machtsvertoon	m ɑ x t s f ə ɹ t o n
machtswellust	m ɑ x t s w ɛ l ʏ s t
machtswellusteling	m ɑ x t s w ɛ l ʏ s t ə l ɪ ŋ
machzer	ˈm ɑ x z ə ɹ
machzor	m ɑ x ˈz ɔ ɹ
machzorem	m ɑ x ˈz o ɹ ə m
machzoriem	m ɑ x z o ˈɹ i m
macrobiotiek	ˌm a k ɹ o ˌb i j o ˈt i k
macron	m a k ɹ ɔ n
macrons	m ɑ k ɹ ɔ n s
macrotaal	ˈm a k ɹ o ˌt a l
macrotalen	ˈm a k ɹ o ˌt a l ə n
macrotoestand	m a k ɹ o t u s t ɑ n t
macula	m a k y l a
madagaskar	m a d a ˈɣ ɑ s k ɑ ɹ
madam	m a d ɑ m
madame	m a ˈd a m
madames	m a ˈd a m s
madanpolan	m a d ɑ n ˈp o l ɑ n
made	m a d ə
madelief	m a d ə l i f
madiwodo	m a d i ˈw o d o
madiwodo's	m a d i ˈw o d o s
madonna	m a ˈd ɔ n a
madonna's	m a ˈd ɔ n a s
madonnaatje	m a ˈd ɔ n a c ə
madonnaatjes	m a ˈd ɔ n a c ə s
madrassa	m a d ɹ ɑ s a
madrichiem	m ɑ d ɹ i ˈx i m
madriech	m ɑ ˈd ɹ i x
madrigaal	m a d ɹ i ɣ a l
madrileen	m a d ɹ i l e n
madrileens	m a d ɹ i l e n s
maestro	ˈm ɑ j s t ɹ o
maestro's	ˈm ɑ j s t ɹ o s
maf	m ɑ f
mafa	ˈm a f a
maffe	ˈm ɑ f ə
maffen	ˈm ɑ f ə n
maffend	ˈm ɑ f ə n d
maffer	ˈm ɑ f ə ɹ
maffere	ˈm ɑ f ə ɹ ə
maffia	m ɑ f i a
maffiosi	m ɑ f i ˈj o s i
maffioso	m ɑ f i ˈj o s o
mafisch	ˈm a f i s
mafkees	m ɑ f k e s
mafketel	m ɑ f k e t ə l
mafkikker	m ɑ f k ɪ k ə ɹ
mafst	m ɑ f s t
mafste	ˈm ɑ f s t ə
maft	m ɑ f
mafte	ˈm ɑ f t ə
maften	ˈm ɑ f t ə n
maftier	m ɑ f ˈt i ɹ
mag	m ɑ x
magahi	m a ˈɡ a h i
magazijn	m a ɣ a z ɛ ɪ n
magazine	ˈm ɛ ɡ ə z i n
magazines	ˈm ɛ ɡ ə z i n s
magbia	m ɑ ɡ ˈb i a
mageen	m a ˈɡ e n
magele	m a ɣ ə l ə
magenta	m a d ʒ ɛ n t a
mager	ˈm a ɣ ə ɹ
magerder	ˈm a ɣ ə ɹ d ə ɹ
magerdere	ˈm a ɣ ə ɹ d ə ɹ ə
magerders	ˈm a ɣ ə ɹ d ə ɹ s
magere	ˈm a ɣ ə ɹ ə
magers	ˈm a ɣ ə ɹ s
magerst	ˈm a ɣ ə ɹ s t
magerste	ˈm a ɣ ə ɹ s t ə
magie	m a ɣ i
magied	m a ˈɡ i t
magisch	m a ɣ i s
magistraal	m a ɣ ɪ s ˈt ɹ a l
magistraat	m a ɣ i s t ɹ a t
magistraatwijk	m a ɣ i s t ɹ a t w ɛ ɪ k
magiër	m a ɣ i ə ɹ
magma	m ɑ x m a
magmatisch	m ɑ x m a t i s
magnaat	m ɑ x n a t
magneet	m ɑ x n e t
magneetkop	m ɑ x n e t k ɔ p
magneetkracht	m ɑ x n e t k ɹ ɑ x t
magneetvissen	m ɑ x ˈn e t f ɪ s ə n
magnesium	m ɑ x n e z i ʏ m
magnetodynamisch	m ɑ x n e t o d i n a m i s
magnetron	ˈm ɑ ɣ n ə t ɹ ɔ n
magnetronmaaltijd	m ɑ x n ə t ɹ ɔ n m a l t ɛ ɪ t
magnifiek	m ɑ n i f i k
magnifieke	m ɑ n i f i k ə
magnolia	m ɑ x n o l i a
magrette	m a ɣ ɹ ɛ t ə
mahjong	m a j ɔ ŋ
mahonie	m a h o n i
mahuma	m a h u m a
mail	m e l
mailbox	ˈm e l b ɔ k s
mailboxen	ˈm e l b ɔ k s ə n
mailen	ˈm e l ə n
mails	m e l s
mainfrankisch	ˈm ɑ j n f ɹ ɑ ŋ k i s
mais	m ɑ j s
maisakker	ˈm ɑ j s ɑ k ə ɹ
maisakkers	ˈm ɑ j s ɑ k ə ɹ s
maisakkertje	ˈm ɑ j s ɑ k ə ɹ c ə
maisakkertjes	ˈm ɑ j s ˌɑ k ə ɹ c ə s
maisbrand	m a ɪ s b ɹ ɑ n t
maise	ˈm ɑ j s ə
maises	ˈm ɑ j s ə s
maiskip	ˈm ɑ j s k ɪ p
maiskippen	ˈm ɑ j s k ɪ p ə n
maiskippetje	ˈm ɑ j s k ɪ p ə c ə
maiskippetjes	ˈm ɑ j s k ɪ p ə c ə s
maiskolf	ˈm ɑ j s k ɔ l f
maiskolfje	ˈm ɑ j s k ɔ l f j ə
maiskolfjes	ˈm ɑ j s k ɔ l f j ə s
maiskolven	ˈm ɑ j s k ɔ l v ə n
maisland	ˈm ɑ j s l ɑ n t
maislanden	ˈm ɑ j s l ɑ n d ə n
maismeel	ˈm ɑ j s m e l
maisoogst	ˈm ɑ j s o x s t
maispap	ˈm ɑ j s p ɑ p
maispapje	ˈm ɑ j s p ɑ p j ə
maispapjes	ˈm ɑ j s p ɑ p j ə s
maispappen	ˈm ɑ j s p ɑ p ə n
maisteelt	ˈm ɑ j s t e l t
maisteelten	ˈm ɑ j s t e l t ə n
maisveld	ˈm ɑ j s f ɛ l t
maisvelden	ˈm ɑ j s f ɛ l d ə n
maisveldje	ˈm ɑ j s f ɛ l c ə
maisveldjes	ˈm ɑ j s f ɛ l c ə s
maiswortel	ˈm ɑ j s w ɔ ɹ t ə l
maiswortelboorder	ˈm ɑ j s w ɔ ɹ t ə l ˌb oː ɹ d ə ɹ
maiswortelboorders	ˈm ɑ j s w ɔ ɹ t ə l ˌb o ɹ d ə ɹ s
maiswortelboordertje	ˈm ɑ j s w ɔ ɹ t ə l ˌb o ɹ d ə ɹ c ə
maiswortelboordertjes	ˈm ɑ j s w ɔ ɹ t ə l ˌb o ɹ d ə ɹ c ə s
maiswortelkever	ˈm ɑ j s w ɔ ɹ t ə l ˌk e v ə ɹ
maiswortelkevers	ˈm ɑ j s w ɔ ɹ t ə l ˌk e v ə ɹ s
maiswortelkevertje	ˈm ɑ j s w ɔ ɹ t ə l ˌk e v ə ɹ c ə
maiswortelkevertjes	ˈm ɑ j s w ɔ ɹ t ə l ˌk e v ə ɹ c ə s
maiswortelknobbelaaltje	ˈm a j s w ɔ ɹ t ə l ˌk n ɔ b ə l a l c ə
maiswortelknobbelaaltjes	ˈm a j s w ɔ ɹ t ə l ˌk n ɔ b ə l a l c ə s
maiswortels	m ɑ j s w ɔ ɹ t ə l s
maisworteltje	m ɑ j s w ɔ ɹ t ə l c ə
maisworteltjes	m ɑ j s w ɔ ɹ t ə l c ə s
maiszetmeel	ˈm ɑ j s ɛ t m e l
maithili	ˈm a ɪ t ɪ l i
maitresse	m ɛ ˈt ɹ ɛ s ə
maizena	m ɑ j ˈz e n a
maizenakoekje	m ɑ j ˈz e n a ˌk u k j ə
maizenakoekjes	m ɑ j ˈz e n a ˌk u k j ə s
maizenapap	m ɑ j ˈz e n a p ɑ p
maizenapapje	m ɑ j ˈz e n a ˌp ɑ p j ə
maizenapapjes	m ɑ j ˈz e n a p ɑ p j ə s
maizenapappen	m ɑ j ˈz e n a p ɑ p ə n
maizenapudding	m ɑ j ˈz e n a ˌp ʏ d ɪ ŋ
maizenapuddingen	m ɑ j ˈz e n a ˌp ʏ d ɪ ŋ ə n
maizenapuddinkje	m ɑ j ˈz e n a ˌp ʏ d ɪ ŋ k j ə
maizenapuddinkjes	m ɑ j ˈz e n a ˌp ʏ d ɪ ŋ k j ə s
maizenavla	m ɑ j ˈz e n a ˌv l a
majem	ˈm a j ə m
majemde	ˈm a j ə m d ə
majemen	m a j ə m ə
majestueus	m ɑ j ɛ s t y ø s
majestueuze	m ɑ j ɛ s t y ø z ə
majeur	m a ʒ ø ɹ
majeurakkoord	s e ˈk l ɛ ɪ n
majo	ˈm a j o
majo's	ˈm a j o s
majoor	m a j o ɹ
majoppeveld	m a j ɔ p ə v ɛ l t
majuskel	m a ˈj ʏ s k ə l
majuskels	m a ˈj ʏ s k ə l s
mak	m ɑ k
makaak	m a ˈk a k
makaron	m a k a ˈɹ ɔ n
make	ˈm a k ə
makeef	m a ˈk e f
makeefs	m a ˈk e f s
makelaar	m a k ə l a ɹ
makelaardij	ˌm a k ə l a ɹ ˈd ɛi
makelaarskantoor	ˈm a k ə ˌl a ɹ s k ɑ n ˌt o ɹ
makelaarskantoortje	ˈm a k ə ˌl a ɹ s k ɑ n ˌt o ɹ c ə
makelaarskantoortjes	ˈm a k ə ˌl a ɹ s k ɑ n ˌt o ɹ c ə s
makelaarskantoren	ˈm a k ə ˌl a ɹ s k ɑ n ˌt o ɹ ə n
makelaarster	ˈm a k ə ˌl a ɹ s t ə ɹ
makelaarsters	ˈm a k ə ˌl a ɹ s t ə ɹ s
makelarij	ˌm a k ə l a ˈɹ ɛi
makelarijen	ˌm a k ə l a ˈɹ ɛi j ə n
makelen	ˈm ɑ k ə l ə n
makelij	ˌm a k ə ˈl ɛ ɪ
maken	ˈm a k ə n
makend	ˈm a k ə n t
maker	m a k ə ɹ
makerij	m a k ə ɹ ɛ ɪ
maki	ˈm a k i
maki's	ˈm a k i s
makke	ˈm ɑ k ə
makkelijk	m ɑ k ə l ə k
makken	ˈm ɑ k ə n
makker	m ɑ k ə ɹ
makkes	ˈm ɑ k ə s
makkie	m ɑ k i
makkinga	m ɑ k ɪ ŋ ɣ a
makkum	m ɑ k ʏ m
makom	m a ˈk ɔ m
makreel	m a k ɹ e l
makron	m a ˈk ɹ ɔ n
makroon	m a ˈk ɹ o n
mal	m ɑ l
malach	m a ˈl ɑ x
malachiem	m a l ɑ ˈx i m
malagasy	m a l a ˈɡ a s i
malariamug	m a l a ɹ i a m ʏ x
malawi	m a ˈl a w i
malberg	m ɑ l b ɛ ɹ x
malboesj	m ɑ l ˈb u ʃ
malboesjiem	m ɑ l b u ˈʃ i m
malburgen	m ɑ l b ʏ ɹ ɣ ə
malchoejot	m ɑ l x u ˈj ɔ t
malchoet	m ɑ l ˈx u t
malden	m ɑ l d ə
malder	m ɑ l d ə ɹ
maldiven	m ɑ l ˈd i v ə n
maldoenerij	m ɑ l d u n ə ɹ ɛ ɪ
maleachi	m a l e ˈj ɑ x i
maleis	m ɑ ˈl ɛ ɪ s
maleisisch	m a ˈl ɛ ɪ z i s
maleisische	m a ˈl ɛ ɪ z i s ə
maleisië	m a ˈl ɛ ɪ z i j ə
maleisiër	m a ˈl ɛ ɪ z i j ə ɹ
malen	m a l ə n
malend	ˈm a l ə n t
maler	ˈm a l ə ɹ
mali	ˈm a l i
malie	ˈm a l i
maling	ˈm a l ɪ ŋ
maliskamp	m a l ɪ s k ɑ m p
maliënkolder	m a l i ə n k ɔ l d ə ɹ
malkander	m ɑ l k ɑ n d ə ɹ
malland	m ɑ l l ɑ n t
malle	m ɑ l ə
mallem	m ɑ l ə m
mallemolen	m ɑ l ə m o l ə
mallepraat	ˈm ɑ l ə p ɹ a t
malloot	m ɑ l o t
mallorca	m ɑ j ɔ ɹ k a
mallorcaan	m ɑ j ɔ ɹ k a n
mallorcaans	m ɑ j ɔ ɹ k a n s
malloterie	m ɑ l o t ə ɹ i
mallotig	m ɑ l o t ə x
malm	m ɑ l m
malpertuis	m ɑ l p ə ɹ t œː y s
mals	m ɑ l s
malsch	m ɑ l s x
malta	ˈm ɑ l t a
malta's	ˈm ɑ l t a s
maltees	m ɑ l ˈt eː s
maltese	m ɑ l ˈt eː s ə
malus	ˈm a l ʏ s
malussen	ˈm a l ʏ s ə n
malversatie	ˌm ɑ l v ɛ ɹ ˈz a s i
malvert	m ɑ l v ə ɹ t
malware	m ɑ l w ɛː ɹ
mam	m ɑ m
mama	ˈm ɑ m aː
mamba	m ɑ m b a
mamelis	m a m ə l ɪ s
mamma	ˈm ɑ m a
mamme	ˈm ɑ m ə
mammelosjen	m ɑ m ə ˈl ɔ ʃ ə n
mammelosjens	m ɑ m ə ˈl ɔ ʃ ə n s
mammen	ˈm ɑ m ə n
mammes	ˈm ɑ m ə s
mammesj	ˈm ɑ m ə ʃ
mammetje	ˈm ɑ m ə c ə
mammetjes	ˈm ɑ m ə c ə s
mammie	ˈm ɑ m i
mammoet	m ɑ m u t
mammoettanker	m ɑ m u t t ɛ ŋ k ə ɹ
mammon	ˈm ɑ m ɔ n
mampier	ˈm ɑ m p i ɹ
mampieren	ˈm ɑ m p i ɹ ə n
mamzeer	m ɑ m ˈz e ɹ
mamzeirem	m ɑ m ˈz ɛi ɹ ə m
mamzer	ˈm ɑ m z ə ɹ
mamzeriem	m ɑ m z e ˈɹ i m
mamzerim	m ɑ m z e ɹ i m
mamzers	ˈm ɑ m z ə ɹ s
man	m ɛ n
mana	ˈm a n a
management	m ɛ n ə t ʃ m ə n t
manager	m ɛ n ə d ʒ ə ɹ
manat	m a ˈn ɑ t
manats	m a ˈn ɑ t s
manbeer	m ɑ n b e ɹ
manche	ˈm ɑ ʃ ə
mancheje	ˈm ɑ ʃ ə j ə
manchejes	ˈm ɑ ʃ ə j ə s
manches	ˈm ɑ ʃ ə s
manchet	m ɑ n ʃ ɛ t
manchetje	ˈm ɑ ʃ ə c ə
manchetjes	ˈm ɑ ʃ ə c ə s
manchetknoop	m ɑ n ʃ ɛ t k n o p
mand	m ɑ n t
mandaat	m ɑ n d a t
mandag	ˈm ɑ n d ɑ x
mandagen	ˈm ɑ n d a ɣ ə n
mandar	m ɑ n ˈd ɑ ɹ
mandarijn	m ɑ n d a ɹ ɛ ɪ n
mandarijns	m ɑ n d a ɹ ɛ ɪ n s
mandaïsch	m ɑ n ˈd a i s
mandeeën	m ɑ n d e ə
mandeeër	m ɑ n d e ə ɹ
mandekking	m ɑ n d ɛ k ɪ ŋ
mandelbroot	ˈm ɑ n d ə l b ɹ o t
mander	m ɑ n d ə ɹ
manderveen	m ɑ n d ə ɹ v e n
mandeïsch	m ɑ n d e i s
mandeïsme	m ɑ n d e ɪ s m ə
mandibel	m ɑ n ˈd i b ə l
mandibels	m ɑ n ˈd i b ə l s
manding	m ɑ n ˈd ɪ ŋ
mandiën	m ɑ n d i ə
mandlen	ˈm ɑ n d l ə n
mandril	m ɑ n ˈd ɹ ɪ l
mandrils	m ɑ n ˈd ɹ ɪ l s
manege	m a n e ʒ ə
manen	m a n ə
manenduif	m a n ə d œː y f
manenrob	m a n ə n ɹ ɔ p
maneschijn	m a n ə s x ɛ ɪ n
maneuver	m a n ø ˈv ə ɹ
maneuvreerde	m a n ø ˈv ɹ e ɹ d ə
maneuvreren	m a n ø ˈv ɹ e ɹ ə n
maneuvrerend	m a n ø ˈv ɹ e ɹ ə n t
manga	ˈm ɑ ŋ ɡ a
mangaan	m ɑ ŋ ɣ a n
mangaanperoxidase	m ɑ n ˈɣ a n p ɛ ɹ ɔ k s i ˌd a z ə
mangat	ˈm ɑ n ɣ a t ə n
mangel	ˈm ɑ ŋ ə l
mangelde	ˈm ɑ ŋ ə l ˌd ə
mangelden	ˈm ɑ ŋ ə l ˌd ə n
mangele	ˈm ɑ ŋ ə ˌl ə
mangelen	ˈm ɑ ŋ ə l ə n
mangelend	ˈm ɑ ŋ ə l ə n t
mangelt	ˈm ɑ ŋ ə l t
mangeneel	m ɑ ŋ ə n e l
mango	m ɑ ŋ ɡ o
mangoeste	m ɑ ŋ ˈɣ u s t ə
mangoesten	m ɑ ŋ ˈɣ u s t ə ə n
mangonel	m ɑ ŋ o n ɛ l
mangrove	m ɑ ŋ ɣ ɹ o v ə
mangrovekwal	m ɑ ŋ ɣ ɹ o v ə k w ɑ l
manhaftig	m ɑ n h ɑ f t ə x
manhattan	m ɛ n h ɛ t ə n
manhieg	m ɑ n ˈh i ɡ
manhigiem	m ɑ n h i ˈɡ i m
manie	m a n i
manier	m ɑ ˈn iː ɹ
manieren	m ɑ n i ɹ ə
manifestatie	ˌm a n i f ɛ s ˈt a t s i
manifesteren	m a n i f ɛ s ˈt e ɹ ə n
manilla	m a ˈn ɪ l a
manilla's	m a ˈn ɪ l a s
manillaatje	m a ˈn ɪ l a c ə
manillaatjes	m a ˈn ɪ l a c ə s
manillahennep	m a ˈn ɪ l a ˌh ɛ n ə p
maniok	m a n i j ɔ k
manipel	m a n i p ə l
manipulatie	m ɑ n i p y l a s i
manisme	m a n ɪ s m ə
maniërisme	m a n i e ɹ ɪ s m ə
manja	m ɑ n j a
mank	m ɑ ŋ k
manke	ˈm ɑ ŋ k ə
manken	ˈm ɑ ŋ k ə n
mankend	ˈm ɑ ŋ k ə n t
mankeren	m ɑ ŋ k e ɹ ə
mankracht	m ɑ n k ɹ ɑ x t
mankt	m ɑ ŋ k t
mankte	ˈm ɑ ŋ k t ə
mankten	ˈm ɑ ŋ k t ə n
manna	ˈm ɑ n a
mannee	m ɑ n e
manneke	ˈm ɑ n ə k ə
manneken	ˈm ɑ n ə k ə n
mannekens	ˈm ɑ n ə k ə n s
mannelijk	m ɑ n ə l ə k
mannelijkheid	m ɑ n ə l ə k h ɛ ɪ t
mannen	ˈm ɑ n ə n
mannenbroeder	m ɑ n ə b ɹ u d ə ɹ
mannenvoetbal	m ɑ n ə n v u t b ɑ l
mannequin	m ɑ n ə k ɛː n
mannetje	m ɑ n ə t j ə
mannetjesputter	m ɑ n ə t j ə s p ʏ t ə ɹ
mannetjesvaren	m ɑ n ə t j ə s v a ɹ ə
mannetjesvarens	m ɑ n ə t j ə s v a ɹ ə n s
mannin	m ɑ ˈn ɪ n
manninnen	m ɑ ˈn ɪ n
manoesj	m a n u ʃ
manoeuvre	m a ˈn œː v ɹ ə
manoeuvreerbaar	m a n u v ɹ e ɹ b a ɹ
manoeuvreerbaarheid	m a n u v ɹ e ɹ b a ɹ h ɛ ɪ t
manoeuvreren	m a n u v ɹ e ɹ ə
manon	m a n ɔ n
manosfeer	m a n o s f e ɹ
manschappen	ˈm ɑ n s x ɑ p ə n
mansi	ˈm ɑ n s i
manslag	ˈm ɑ n s l ɑ x
mansoor	ˈm ɑ n s o ɹ
manteau	m ɑ ˈt o
manteaus	m ɑ ˈt o s
mantel	m ɑ n t ə l
mantelaap	m ɑ n t ə l a p
mantelbaviaan	m ɑ n t ə l b a v i a n
manteldier	m ɑ n t ə l d i ɹ
mantelen	m ɑ n t ə l ə
mantelmeeuw	m ɑ n t ə l m e w
mantelorganisatie	m ɑ n t ə l ɔ ɹ ɣ a n i z a s i
mantelpak	m ɑ n t ə l p ɑ k
mantelschelp	m ɑ n t ə l s x ɛ l p
mantelverzorger	m ɑ n t ə l v ə ɹ z ɔ ɹ ɣ ə ɹ
mantelzorg	m ɑ n t ə l z ɔ ɹ ɣ
mantelzorger	m ɑ n t ə l z ɔ ɹ ɣ ə ɹ
mantgum	m ɑ n t ɣ ʏ m
mantici	ˈm ɑ n t i s i
manticus	ˈm ɑ n t i k ʏ s
mantiek	m ɑ n t i k
mantinge	m ɑ n t ɪ ŋ ə
mantisch	m ɑ n t i s
mantra	ˈm ɑ n t ɹ a
manuscript	m a n y s k ɹ ɪ p t
manusje-van-alles	ˌm a n ø s j ə v ɑ n ˈɑ l ə s
manuur	m ɑ n y ɹ
manwijf	m ɑ n w ɛ ɪ f
manx	m ɑ ŋ k s
manziek	m ɑ n z i k
maori	m a ˈo ɹ i
maoïsme	m a o ɪ s m ə
maoïst	m a o ɪ s t
maoïstisch	m a o ɪ s t i s
map	m ɑ p
mapa	m a ˈp a
mapach	m ə h u ˈp ɑ x
mapangpang	m a p ɑ ŋ p ɑ ŋ
mapiek	m a ˈp i k
maquette	m a k ɛ t ə
mar	m ɑ ɹ
maraan	m a ˈɹ a n
maranen	m a ˈɹ a n ə n
marathon	m a ɹ a t ɔ n
marathonloper	m a ɹ a t ɔ n l o p ə ɹ
marathontoerisme	ˈm a ɹ a t ɔ n t u ˌɹ ɪ s m ə
marbriet	m ɑ ɹ ˈb ɹ i t
marburg	m ɑ ɹ b ʏ ɹ x
marburgkoorts	m ɑ ɹ b ʏ ɹ x k o ɹ t s
marburgvirus	m ɑ ɹ b ʏ ɹ x v i ɹ ʏ s
marchanderen	m ɑ ɹ ʃ ɑ n ˈd e ɹ ə n
marchena	m ɑ ɹ t ʃ ɛ n a
marchesjvan	m ɑ ɹ ˈx ɛ ʃ v ɑ n
marconist	m ɑ ɹ k o n ɪ s t
marcus	m ɑ ɹ k ʏ s
marde	ˈm ɑ ɹ d ə
marden	ˈm ɑ ɹ d ə n
marderhoek	m ɑ ɹ d ə ɹ h u k
mare	ˈm a ɹ ə
marechaussee	ˌm a ɹ ə ʃ o ˈs e
maren	m a ɹ ə
maretak	m a ɹ ə t ɑ k
margarine	m ɑ ɹ ɣ a ɹ i n ə
marges	m a ɹ ʒ ə s
marginaal	m ɑ ɹ ɣ i ˈn a l
marginaals	m ɑ ɹ ɣ i ˈn a l s
marginaalst	m ɑ ɹ ɣ i ˈn a l s t
marginaalste	m ɑ ɹ ɣ i ˈn a l s t ə
marginale	m ɑ ɹ ɣ i ˈn a l ə
marginaler	m ɑ ɹ ɣ i ˈn a l ə ɹ
marginalere	m ɑ ɹ ɣ i ˈn a l ə ɹ ə
marginalers	m ɑ ɹ ɣ i ˈn a l ə ɹ s
margraten	m ɑ ɹ ɣ ɹ a t ə
margret	m ɑ ɹ ɣ ɹ ɛ t
mari	ˈm a ɹ i
maria	m a ɹ i a
maria-boodschap	m a ˌɹ i j a ˈb o t s x ɑ p
mariaal	m a ɹ i ˈj a l
mariaberg	m a ɹ i a b ɛ ɹ x
mariadorp	m a ɹ i a d ɔ ɹ p
mariaheide	m a ɹ i a h ɛ ɪ d ə
mariahout	m a ɹ i a h ɑ w t
mariaparochie	m a ɹ i a p a ɹ ɔ x i
mariarade	m a ɹ i a ɹ a d ə
mariaveld	m a ɹ i a v ɛ l t
marie	m a ɹ i
marieke	m a ɹ i k ə
mariekerke	m a ɹ i k ɛ ɹ k ə
marien	m a ɹ i n
marifonen	m a ɹ i ˈf o n ə
marifoon	m a ɹ i ˈf o n
marifoons	m a ɹ i ˈf o n s
marije	m a ɹ ɛ ɪ ə
marijenkampen	m a ɹ ɛ ɪ ə k ɑ m p ə
marijke	m a ɹ ɛ ɪ k ə
marijn	m ɑ ɹ ɛ ɪ n
marijnissen	m a ɹ ɛ ɪ n ɪ s ə
marimba	m ɑ ˈɹ ɪ m b a
marina	m a ɹ i n a
marinade	m a ɹ i n a d ə
marine	m aː ˈɹ i n ə
marinebasis	m a ɹ i n ə b a z ɪ s
marinebuurt	m a ɹ i n ə b y ɹ t
marineofficier	m a ɹ i n ə ɔ f i s i ɹ
marineren	m a ɹ i n e ɹ ə
marinier	m a ɹ i n i ɹ
mario	m a ɹ i o
marionet	m a ɹ i o n ɛ t
marionettenleger	m a ɹ i o n ɛ t ə l e ɣ ə ɹ
marionettenproces	m a ɹ i o n ɛ t ə n p ɹ o s ɛ s
marionettenstaat	m a ɹ i o n ɛ t ə n s t a t
maris	m a ɹ ɪ s
marist	m a ɹ ɪ s t
marius	m a ɹ i ʏ s
mariënberg	m a ɹ i ə b ɛ ɹ x
