!sil	SIL
'c'que	s k
achèveraient	a ʃ ɛ v ə ʁ ɛ
achèverait	a ʃ ɛ v ə ʁ ɛ
achèverons	a ʃ ɛ v ə ʁ ɔ̃
acide	a s i d
acides	a s i d
acidifier	a s i d i f j e
acidulée	a s i d y l e
acier	a s j e
acigné	a s i ɲ e
acinq	a s ɛ̃ k
aciérie	a s j e ʁ i
aciériste	a s j e ʁ i s t
aco	a k o
acolytes	a k ɔ l i t
acomptes	a k ɔ̃ t
acores	a k ɔ ʁ
acoustique	a k u s t i k
acoustiques	a k u s t i k
acqu	a k
acquerissaient	a k e ʁ i s ɛ
acquiers	a k j ɛ ʁ
acquiert	a k j ɛ ʁ
acquiescement	a k j ɛ s m ɑ̃
acquirent	a k i ʁ
acquis	a k i
acquise	a k i z
acquises	a k i z
acquisition	a k i z i s j ɔ̃
acquisitions	a k i z i s j ɔ̃
acquit	a k i
acquitta	a k i t a
acquittait	a k i t ɛ
acquittement	a k i t m ɑ̃
acquitter	a k i t e
acquitté	a k i t e
acquittée	a k i t e
acquittés	a k i t e
acquière	a k j ɛ ʁ
acquièrent	a k j ɛ ʁ
acquéraient	a k e ʁ ɛ
acquérait	a k e ʁ ɛ
acquéreur	a k e ʁ œ ʁ
acquéreurs	a k e ʁ œ ʁ
acquérir	a k e ʁ i ʁ
acquérissent	a k e ʁ i s
acras	a k ʁ a
acre	a k ʁ
acres	a k ʁ
acrimonie	a k ʁ i m ɔ n i
acrobate	a k ʁ ɔ b a t
acrobates	a k ʁ ɔ b a t
acrobaties	a k ʁ ɔ b a s i
acrobatique	a k ʁ ɔ b a t i k
acropathes	a k ʁ ɔ p a t
acropole	a k ʁ ɔ p ɔ l
acrosport	a k ʁ o s p ɔ ʁ
acrylique	a k ʁ i l i k
act	a k t
acte	a k t
actes	a k t
acteur	a k t œ ʁ
acteurs	a k t œ ʁ
acticall	a k t i k o l
actif	a k t i f
actifs	a k t i f
actinidiens	a k t i n i d j ɛ̃
actinies	a k t i n i
action	a k s j ɔ̃
actionna	a k s j ɔ n a
actionnaire	a k s j ɔ n ɛ ʁ
actionnaires	a k s j ɔ n ɛ ʁ
actionne	a k s j ɔ n
actionnée	a k s j ɔ n e
actions	a k s j ɔ̃
activaient	a k t i v ɛ
activait	a k t i v ɛ
active	a k t i v
activement	a k t i v m ɑ̃
activer	a k t i v e
actives	a k t i v
activi	a k t i v i
activité	a k t i v i t e
activités	a k t i v i t e
activités-là	a k t i v i t e l a
activèrent	a k t i v ɛ ʁ
activé	a k t i v e
activée	a k t i v e
actrice	a k t ʁ i s
actrices	a k t ʁ i s
actualisée	a k t ɥ a l i z e
actualité	a k t ɥ a l i t e
actualités	a k t ɥ a l i t e
actuel	a k t ɥ ɛ l
actuelle	a k t ɥ ɛ l
actuellement	a k t ɥ ɛ l m ɑ̃
actuelles	a k t ɥ ɛ l
actuels	a k t ɥ ɛ l
actées	a k t e
acuité	a k ɥ i t e
acv	a s e v e
acy	a s i
acères	a s ɛ ʁ
acéphales	a s e f a l
acérinées	a s e ʁ i n e
acéré	a s e ʁ e
acérée	a s e ʁ e
acérées	a s e ʁ e
acérés	a s e ʁ e
acétabules	a s e t a b y l
acétabulifère	a s e t a b y l i f ɛ ʁ
acétate	a s e t a t
ad	a d
adagios	a d a d ʒ j o
adam	a d a m
adamo	a d a m o
adap	a d a p
adapta	a d a p t a
adaptable	a d a p t a b l
adaptaient	a d a p t ɛ
adaptation	a d a p t a s j ɔ̃
adaptations	a d a p t a s j ɔ̃
adapte	a d a p t
adaptent	a d a p t
adapter	a d a p t e
adapterai	a d a p t ə ʁ e
adapteront	a d a p t ə ʁ ɔ̃
adapté	a d a p t e
adaptée	a d a p t e
adaptées	a d a p t e
adaptés	a d a p t e
addam	a d a m
addhéma	a d e m a
addict	a d i k t
addiction	a d i k s j ɔ̃
addition	a d i s j ɔ̃
additionna	a d i s j ɔ n a
additionne	a d i s j ɔ n
additionnel	a d i s j ɔ n ɛ l
additionnels	a d i s j ɔ n ɛ l
additionner	a d i s j ɔ n e
additionné	a d i s j ɔ n e
additions	a d i s j ɔ̃
adecco	a d ɛ k o
adege	a d e ə ʒ
adelina	a d l i n a
adeline	a d ə l i n
adelphi	a d ɛ l f i
adepte	a d ɛ p t
adeptes	a d ɛ p t
adhère	a d ɛ ʁ
adhèrent	a d ɛ ʁ
adhé	a d e
adhéraient	a d e ʁ ɛ
adhérait	a d e ʁ ɛ
adhérant	a d e ʁ ɑ̃
adhérence	a d e ʁ ɑ̃ s
adhérences	a d e ʁ ɑ̃ s
adhérent	a d e ʁ ɑ̃
adhérente	a d e ʁ ɑ̃ t
adhérentes	a d e ʁ ɑ̃ t
adhérents	a d e ʁ ɑ̃
adhérer	a d e ʁ e
adhéré	a d e ʁ e
adhésifs	a d e z i f
adhésion	a d e z j ɔ̃
adhésive	a d e z i v
adidas	a d i d a s
adieu	a d j ø
adieux	a d j ø
adj	a d ʒ
adjacent	a d ʒ a s ɑ̃
adjacente	a d ʒ a s ɑ̃ t
adjacents	a d ʒ a s ɑ̃
adjani	a d ʒ a n i
adjectifs	a d ʒ ɛ k t i f
adjoint	a d ʒ w ɛ̃
adjointe	a d ʒ w ɛ̃ t
adjoints	a d ʒ w ɛ̃
adjudants	a d ʒ y d ɑ̃
adjudicataires	a d ʒ y d i k a t ɛ ʁ
adjugé	a d ʒ y ʒ e
adjurations	a d ʒ y ʁ a s j ɔ̃
adjurer	a d ʒ y ʁ e
adjurèrent	a d ʒ y ʁ ɛ ʁ
adjuvants	a d ʒ y v ɑ̃
adjuvents	a d ʒ y v ɑ̃
admet	a d m ɛ
admets	a d m ɛ
admettaient	a d m ɛ t ɛ
admettait	a d m ɛ t ɛ
admettait-il	a d m ɛ t ɛ t i l
admettant	a d m ɛ t ɑ̃
admettent	a d m ɛ t
admettez	a d m ɛ t e
admettez-le	a d m ɛ t e l ə
admettez-vous	a d m ɛ t e v u
admettiez	a d m ɛ t j e
admettons	a d m ɛ t ɔ̃
admettre	a d m ɛ t ʁ
admettriez	a d m ɛ t ʁ i j e
admi	a d m i
administra	a d m i n i s t ʁ a
administrait	a d m i n i s t ʁ ɛ
administrateur	a d m i n i s t ʁ a t œ ʁ
administrateurs	a d m i n i s t ʁ a t œ ʁ
administrati	a d m i n i s t ʁ a t i
administratif	a d m i n i s t ʁ a t i f
administratifs	a d m i n i s t ʁ a t i f
administration	a d m i n i s t ʁ a s j ɔ̃
administrations	a d m i n i s t ʁ a s j ɔ̃
administrative	a d m i n i s t ʁ a t i v
administrativement	a d m i n i s t ʁ a t i v m ɑ̃
administratives	a d m i n i s t ʁ a t i v
administratrice	a d m i n i s t ʁ a t ʁ i s
administrent	a d m i n i s t ʁ
administrer	a d m i n i s t ʁ e
administré	a d m i n i s t ʁ e
administrée	a d m i n i s t ʁ e
administrés	a d m i n i s t ʁ e
admira	a d m i ʁ a
admirable	a d m i ʁ a b l
admirablement	a d m i ʁ a b l ə m ɑ̃
admirables	a d m i ʁ a b l
admiraient	a d m i ʁ ɛ
admirait	a d m i ʁ ɛ
admirant	a d m i ʁ ɑ̃
admirat	a d m i ʁ a t
admirateur	a d m i ʁ a t œ ʁ
admirateurs	a d m i ʁ a t œ ʁ
admiratif	a d m i ʁ a t i f
admiration	a d m i ʁ a s j ɔ̃
admirations	a d m i ʁ a s j ɔ̃
admirative	a d m i ʁ a t i v
admiratives	a d m i ʁ a t i v
admiratrice	a d m i ʁ a t ʁ i s
admire	a d m i ʁ
admirent	a d m i ʁ
admirer	a d m i ʁ e
admirerait	a d m i ʁ ə ʁ ɛ
admirèrent	a d m i ʁ ɛ ʁ
admiré	a d m i ʁ e
admirée	a d m i ʁ e
admirées	a d m i ʁ e
admirés	a d m i ʁ e
admis	a d m i
admise	a d m i z
admises	a d m i z
admissible	a d m i s i b l
admissibles	a d m i s i b l
admit	a d m i
admonestation	a d m ɔ n ɛ s t a s j ɔ̃
admît	a d m i
ado	a d o
adobe	a d ɔ b
adolescence	a d ɔ l ɛ s ɑ̃ s
adolescent	a d ɔ l e s ɑ̃
adolescente	a d ɔ l ɛ s ɑ̃ t
adolescentes	a d ɔ l ɛ s ɑ̃ t
adolescents	a d ɔ l e s ɑ̃
adolphe	a d ɔ l f
adoniser	a d ɔ n i z e
adonne	a d ɔ n
adonné	a d ɔ n e
adonnés	a d ɔ n e
adopta	a d ɔ p t a
adoptable	a d ɔ p t a b l
adoptait	a d ɔ p t ɛ
adoptant	a d ɔ p t ɑ̃
adopte	a d ɔ p t
adopter	a d ɔ p t e
adopterez	a d ɔ p t ə ʁ e
adopteront	a d ɔ p t ə ʁ ɔ̃
adoptez	a d ɔ p t e
adoptif	a d ɔ p t i f
adoption	a d ɔ p s j ɔ̃
adoptive	a d ɔ p t i v
adoptons	a d ɔ p t ɔ̃
adopté	a d ɔ p t e
adoptée	a d ɔ p t e
adoptées	a d ɔ p t e
adoptés	a d ɔ p t e
adorable	a d ɔ ʁ a b l
adorablement	a d ɔ ʁ a b l ə m ɑ̃
adorables	a d ɔ ʁ a b l
adorait	a d ɔ ʁ ɛ
adorant	a d ɔ ʁ ɑ̃
adorateur	a d ɔ ʁ a t œ ʁ
adoration	a d ɔ ʁ a s j ɔ̃
adore	a d ɔ ʁ
adorent	a d ɔ ʁ
adorer	a d ɔ ʁ e
adores	a d ɔ ʁ
adorez	a d ɔ ʁ e
adorez-vous	a d ɔ ʁ e v u
adorions	a d ɔ ʁ j ɔ̃
adorno	a d ɔ ʁ n o
adorons	a d ɔ ʁ ɔ̃
adoré	a d ɔ ʁ e
adorée	a d ɔ ʁ e
adorés	a d ɔ ʁ e
ados	a d o
adossé	a d o s e
adossée	a d o s e
adossés	a d o s e
adouberies	a d u b ə ʁ i
adouci	a d u s i
adoucie	a d u s i
adoucir	a d u s i ʁ
adoucis	a d u s i
adoucissaient	a d u s i s ɛ
adoucissait	a d u s i s ɛ
adoucissant	a d u s i s ɑ̃
adoucissement	a d u s i s m ɑ̃
adressa	a d ʁ e s a
adressait	a d ʁ e s ɛ
adressant	a d ʁ ɛ s ɑ̃
adresse	a d ʁ ɛ s
adresse-là	a d ʁ ɛ s l a
adressent	a d ʁ ɛ s
adresser	a d ʁ ɛ s e
adresses	a d ʁ ɛ s
adressez	a d ʁ e s e
adressez-vous	a d ʁ e s e v u
adressiez	a d ʁ e s j e
adressions	a d ʁ e s j ɔ̃
adressons	a d ʁ e s ɔ̃
adressât	a d ʁ e s a
adressèrent	a d ʁ e s ɛ ʁ
adressé	a d ʁ e s e
adressée	a d ʁ e s e
adressées	a d ʁ e s e
adressés	a d ʁ e s e
adriana	a d ʁ i a n a
adriatique	a d ʁ i j a t i k
adrien	a d ʁ i j ɛ̃
adroit	a d ʁ w a
adroite	a d ʁ w a t
adroitement	a d ʁ w a t m ɑ̃
adroits	a d ʁ w a
adsum	a d s u m
adulations	a d y l a s j ɔ̃
adule	a d y l
adulte	a d y l t
adultes	a d y l t
adultère	a d y l t ɛ ʁ
adultères	a d y l t ɛ ʁ
adultérin	a d y l t e ʁ ɛ̃
adulé	a d y l e
adulée	a d y l e
advance	a d v ɑ̃ s
advenait	a d v ə n ɛ
advenir	a d v ə n i ʁ
adventure	a d v ɑ̃ t y ʁ
advenu	a d v ə n y
adversaire	a d v ɛ ʁ s ɛ ʁ
adversaires	a d v ɛ ʁ s ɛ ʁ
adverse	a d v ɛ ʁ s
adverses	a d v ɛ ʁ s
advienne	a d v j ɛ n
advient	a d v j ɛ̃
advint	a d v ɛ̃
advînt	a d v ɛ̃
adyar	a d i a ʁ
adèle	a d ɛ l
adé	a d e
adélaïde	a d e l a i d
adélie	a d e l i
adélina	a d e l i n a
adémar	a d e m a ʁ
adénoïdes	a d e n ɔ i d
adéquat	a d e k w a
adéquate	a d e k w a
adéquates	a d e k w a t
adéquation	a d e k w a s j ɔ̃
ae	a e
aen	e n
aeneus	e n ø
aes	a ɛ s
afa	a f a
affabilité	a f a b i l i t e
affable	a f a b l
affables	a f a b l
affabulation	a f a b y l a s j ɔ̃
affadissantes	a f a d i s ɑ̃ t
affai	a f e
affaibli	a f e b l i
affaiblie	a f e b l i
affaiblies	a f e b l i
affaiblir	a f e b l i ʁ
affaiblis	a f e b l i
affaiblissement	a f e b l i s m ɑ̃
affaire	a f ɛ ʁ
affaire-là	a f ɛ ʁ l a
affaires	a f ɛ ʁ
affaires-là	a f ɛ ʁ l a
affairiste	a f ɛ ʁ i s t
affairé	a f e ʁ e
affairée	a f e ʁ e
affairés	a f e ʁ e
affaissement	a f ɛ s m ɑ̃
affaissements	a f ɛ s m ɑ̃
affaissé	a f e s e
affaissée	a f e s e
affaissés	a f e s e
affalé	a f a l e
affalée	a f a l e
affalés	a f a l e
affamant	a f a m ɑ̃
affamé	a f a m e
affamée	a f a m e
affamés	a f a m e
affecta	a f ɛ k t a
affectaient	a f ɛ k t ɛ
affectait	a f ɛ k t ɛ
affectant	a f ɛ k t ɑ̃
affectation	a f ɛ k t a s j ɔ̃
affectations	a f ɛ k t a s j ɔ̃
affecte	a f ɛ k t
affectent	a f ɛ k t
affecter	a f ɛ k t e
affectez	a f ɛ k t e
affectif	a f ɛ k t i f
affectifs	a f ɛ k t i f
affection	a f ɛ k s j ɔ̃
affectionnaient	a f ɛ k s j ɔ n ɛ
affectionnait	a f ɛ k s j ɔ n ɛ
affectionne	a f ɛ k s j ɔ n
affectionner	a f ɛ k s j ɔ n e
affectionné	a f ɛ k s j ɔ n e
affectionnés	a f ɛ k s j ɔ n e
affections	a f ɛ k s j ɔ̃
affective	a f ɛ k t i v
affects	a f ɛ k t
affectueuse	a f ɛ k t ɥ ø z
affectueusement	a f ɛ k t ɥ ø z m ɑ̃
affectueuses	a f ɛ k t ɥ ø z
affectueux	a f ɛ k t ɥ ø
affecté	a f ɛ k t e
affectée	a f ɛ k t e
affectées	a f ɛ k t e
affectés	a f ɛ k t e
affermi	a f ɛ ʁ m i
affermissant	a f ɛ ʁ m i s ɑ̃
affermissement	a f ɛ ʁ m i s m ɑ̃
affermit	a f ɛ ʁ m i
affermées	a f ɛ ʁ m e
affichage	a f i ʃ a ʒ
affichait	a f i ʃ ɛ
affiche	a f i ʃ
afficher	a f i ʃ e
affiches	a f i ʃ
affichettes	a f i ʃ ɛ t
affiché	a f i ʃ e
affichée	a f i ʃ e
affichées	a f i ʃ e
affichés	a f i ʃ e
affilié	a f i l j e
affiliées	a f i l j e
affiliés	a f i l j e
affilure	a f i l y ʁ
affilé	a f i l e
affilée	a f i l e
affilés	a f i l e
affinité	a f i n i t e
affinités	a f i n i t e
affiné	a f i n e
affinés	a f i n e
affirma	a f i ʁ m a
affirmaient	a f i ʁ m ɛ
affirmait	a f i ʁ m ɛ
affirmait-elle	a f i ʁ m ɛ t ɛ l
affirmait-il	a f i ʁ m ɛ t i l
affirmait-on	a f i ʁ m ɛ t ɔ̃
affirmant	a f i ʁ m ɑ̃
affirmatif	a f i ʁ m a t i f
affirmation	a f i ʁ m a s j ɔ̃
affirmations	a f i ʁ m a s j ɔ̃
affirmative	a f i ʁ m a t i v
affirmativement	a f i ʁ m a t i v m ɑ̃
affirme	a f i ʁ m
affirment	a f i ʁ m
affirmer	a f i ʁ m e
affirmera	a f i ʁ m ə ʁ a
affirmerait	a f i ʁ m ə ʁ ɛ
affirmerons	a f i ʁ m ə ʁ ɔ̃
affirmeront	a f i ʁ m ə ʁ ɔ̃
affirmez	a f i ʁ m e
affirmez-vous	a f i ʁ m e v u
affirmons	a f i ʁ m ɔ̃
affirmèrent	a f i ʁ m ɛ ʁ
affirmé	a f i ʁ m e
affirmée	a f i ʁ m e
affleuraient	a f l œ ʁ ɛ
affleurait	a f l œ ʁ ɛ
affleurer	a f l œ ʁ e
affleureraient	a f l œ ʁ ə ʁ ɛ
affliction	a f l i k s j ɔ̃
afflictions	a f l i k s j ɔ̃
affligeant	a f l i ʒ ɑ̃
affliger	a f l i ʒ e
affligé	a f l i ʒ e
affligée	a f l i ʒ e
affligés	a f l i ʒ e
afflua	a f l y a
affluaient	a f l y ɛ
affluaient-elles	a f l y ɛ t ɛ l
affluait	a f l y ɛ
affluent	a f l y ɑ̃
affluents	a f l y ɑ̃
affluer	a f l y e
affluerait	a f l y ʁ ɛ
afflueront	a f l y ʁ ɔ̃
afflux	a f l y
affoir	a f w a ʁ
affolait	a f ɔ l ɛ
affolant	a f ɔ l ɑ̃
affolement	a f ɔ l m ɑ̃
affolent	a f ɔ l
affoler	a f ɔ l e
affolons	a f ɔ l ɔ̃
affolé	a f ɔ l e
affolée	a f ɔ l e
affolées	a f ɔ l e
affolés	a f ɔ l e
affouages	a f u a ʒ
affouillements	a f u j m ɑ̃
affouillées	a f u j e
affourchée	a f u ʁ ʃ e
affranchi	a f ʁ ɑ̃ ʃ i
affranchie	a f ʁ ɑ̃ ʃ i
affranchir	a f ʁ ɑ̃ ʃ i ʁ
affranchis	a f ʁ ɑ̃ ʃ i
affres	a f ʁ
affreuse	a f ʁ ø z
affreusement	a f ʁ ø z m ɑ̃
affreuses	a f ʁ ø z
affreux	a f ʁ ø
affriandant	a f ʁ i j ɑ̃ d ɑ̃
affriande	a f ʁ i j ɑ̃ d
affriandent	a f ʁ i j ɑ̃ d
affront	a f ʁ ɔ̃
affronta	a f ʁ ɔ̃ t a
affrontant	a f ʁ ɔ̃ t ɑ̃
affronte	a f ʁ ɔ̃ t
affrontement	a f ʁ ɔ̃ t m ɑ̃
affrontent	a f ʁ ɔ̃ t
affronter	a f ʁ ɔ̃ t e
affronterait	a f ʁ ɔ̃ t ə ʁ ɛ
affronteux	a f ʁ ɔ̃ t ø
affronts	a f ʁ ɔ̃
affrontèrent	a f ʁ ɔ̃ t ɛ ʁ
affrontés	a f ʁ ɔ̃ t e
affréteurs	a f ʁ e t œ ʁ
affrété	a f ʁ e t e
affublait	a f y b l ɛ
affublé	a f y b l e
affublées	a f y b l e
affuté	a f y t e
afférents	a f e ʁ ɑ̃
affôlés	a f o l e
affût	a f y
affûtant	a f y t ɑ̃
affûts	a f y
affûtées	a f y t e
afghane	a f ɡ a n
afin	a f ɛ̃
afn	a ɛ f ɛ n
afpa	a f p a
afraid	a f ʁ ɛ d
afric	a f ʁ i k
africain	a f ʁ i k ɛ̃
africaine	a f ʁ i k ɛ n
africaines	a f ʁ i k ɛ n
africains	a f ʁ i k ɛ̃
africaniste	a f ʁ i k a n i s t
afrique	a f ʁ i k
after	a f t œ ʁ
afé	a f e
ag	a ʒ e
aga	a ɡ a
agace	a ɡ a s
agacement	a ɡ a s m ɑ̃
agacements	a ɡ a s m ɑ̃
agacent	a ɡ a s
agacer	a ɡ a s e
agaceraient	a ɡ a s ə ʁ ɛ
agacez	a ɡ a s e
agacé	a ɡ a s e
agacés	a ɡ a s e
again	a ɡ ɛ̃
against	a ɡ ɛ n s t
agals	a ɡ a l
agamemnon	a ɡ a m ɛ m n ɔ̃
agares	a ɡ a ʁ
agariciformes	a ɡ a ʁ i s i f ɔ ʁ m
agatchs	a ɡ a t ʃ
agatha	a ɡ a t a
agatharchide	a ɡ a t a ʁ ʃ i d
agaçaient	a ɡ a s ɛ
agaçait	a ɡ a s ɛ
agaçant	a ɡ a s ɑ̃
agaçante	a ɡ a s ɑ̃ t
agde	a ɡ d
age	a ʒ
agen	a ʒ ɛ̃
agen-d'aveyron	a ʒ ɛ̃ d a v e ʁ ɔ̃
agence	a ʒ ɑ̃ s
agencement	a ʒ ɑ̃ s m ɑ̃
agences	a ʒ ɑ̃ s
agenda	a ʒ ɛ̃ d a
agendas	a ʒ ɛ̃ d a
agenouillez	a ʒ ə n u j e
agenouillé	a ʒ ə n u j e
agenouillée	a ʒ ə n u j e
agenouillés	a ʒ ə n u j e
agent	a ʒ ɑ̃
agents	a ʒ ɑ̃
agf	a ʒ e ɛ f
agglo	a ɡ l o
agglomère	a ɡ l ɔ m ɛ ʁ
agglomèrent	a ɡ l ɔ m ɛ ʁ
agglomération	a ɡ l ɔ m e ʁ a s j ɔ̃
agglomérations	a ɡ l ɔ m e ʁ a s j ɔ̃
agglomérer	a ɡ l ɔ m e ʁ e
aggloméré	a ɡ l ɔ m e ʁ e
agglomérées	a ɡ l ɔ m e ʁ e
agglutine	a ɡ l y t i n
agglutiner	a ɡ l y t i n e
aggravait	a ɡ ʁ a v ɛ
aggravantes	a ɡ ʁ a v ɑ̃ t
aggravation	a ɡ ʁ a v a s j ɔ̃
aggrave	a ɡ ʁ a v
aggravent	a ɡ ʁ a v
aggraver	a ɡ ʁ a v e
aggravera	a ɡ ʁ a v ə ʁ a
aggravez	a ɡ ʁ a v e
aggravé	a ɡ ʁ a v e
aggravée	a ɡ ʁ a v e
aggressif	a ɡ ʁ e s i f
agha	a ɡ a
agi	a ʒ i
agile	a ʒ i l
agiles	a ʒ i l
agilité	a ʒ i l i t e
agios	a ʒ j o
agir	a ʒ i ʁ
agira	a ʒ i ʁ a
agirait	a ʒ i ʁ ɛ
agirent	a ʒ i ʁ
agirez	a ʒ i ʁ e
agirons	a ʒ i ʁ ɔ̃
agis	a ʒ i
agissaient	a ʒ i s ɛ
agissait	a ʒ i s ɛ
agissait-il	a ʒ i s ɛ t i l
agissant	a ʒ i s ɑ̃
agissements	a ʒ i s m ɑ̃
agissent	a ʒ i s
agissez	a ʒ i s e
agissons	a ʒ i s ɔ̃
agit	a ʒ i
agita	a ʒ i t a
agitaient	a ʒ i t ɛ
agitait	a ʒ i t ɛ
agitant	a ʒ i t ɑ̃
agitateur	a ʒ i t a t œ ʁ
agitation	a ʒ i t a s j ɔ̃
agitations	a ʒ i t a s j ɔ̃
agite	a ʒ i t
agitent	a ʒ i t
agiter	a ʒ i t e
agitèrent	a ʒ i t ɛ ʁ
agité	a ʒ i t e
agitée	a ʒ i t e
agitées	a ʒ i t e
agités	a ʒ i t e
aglu	a ɡ l y
agneau	a ɲ o
agneaux	a ɲ o
agnès	a ɲ ɛ s
agon-coutainville	a ɡ ɔ̃ k u t ɛ̃ v i l
agonie	a ɡ ɔ n i
agonisaient	a ɡ ɔ n i z ɛ
agonisait	a ɡ ɔ n i z ɛ
agonisant	a ɡ ɔ n i z ɑ̃
agonisante	a ɡ ɔ n i z ɑ̃ t
agonisants	a ɡ ɔ n i z ɑ̃
agonise	a ɡ ɔ n i z
agoniser	a ɡ ɔ n i z e
agonisé	a ɡ ɔ n i z e
agoraph	a ɡ ɔ ʁ a f
agoraphobe	a ɡ ɔ ʁ a f ɔ b
agord	a ɡ ɔ ʁ
agoutis	a ɡ u t i
agrache	a ɡ ʁ a ʃ
agrafe	a ɡ ʁ a f
agrafes	a ɡ ʁ a f
agrandi	a ɡ ʁ ɑ̃ d i
agrandie	a ɡ ʁ ɑ̃ d i
agrandies	a ɡ ʁ ɑ̃ d i
agrandir	a ɡ ʁ ɑ̃ d i ʁ
agrandis	a ɡ ʁ ɑ̃ d i
agrandissait	a ɡ ʁ ɑ̃ d i s ɛ
agrandissement	a ɡ ʁ ɑ̃ d i s m ɑ̃
agrandissez	a ɡ ʁ ɑ̃ d i s e
agrandit	a ɡ ʁ ɑ̃ d i
agressait	a ɡ ʁ ɛ s ɛ
agresse	a ɡ ʁ ɛ s
agressent	a ɡ ʁ ɛ s
agresser	a ɡ ʁ ɛ s e
agresseur	a ɡ ʁ ɛ s œ ʁ
agresseur-là	a ɡ ʁ ɛ s œ ʁ l a
agresseurs	a ɡ ʁ e s œ ʁ
agressif	a ɡ ʁ ɛ s i f
agressifs	a ɡ ʁ ɛ s i f
agression	a ɡ ʁ e s j ɔ̃
agressions	a ɡ ʁ e s j ɔ̃
agressive	a ɡ ʁ ɛ s i v
agressives	a ɡ ʁ ɛ s i v
agressivité	a ɡ ʁ ɛ s i v i t e
agressé	a ɡ ʁ ɛ s e
agressée	a ɡ ʁ ɛ s e
agressées	a ɡ ʁ ɛ s e
agressés	a ɡ ʁ ɛ s e
agreste	a ɡ ʁ ɛ s t
agrestes	a ɡ ʁ ɛ s t
agricolas	a ɡ ʁ i k ɔ l a
agricole	a ɡ ʁ i k ɔ l
agricoles	a ɡ ʁ i k ɔ l
agriculteur	a ɡ ʁ i k y l t œ ʁ
agriculteurs	a ɡ ʁ i k y l t œ ʁ
agriculture	a ɡ ʁ i k y l t y ʁ
agrippe	a ɡ ʁ i p
agrippées	a ɡ ʁ i p e
agrippés	a ɡ ʁ i p e
agroalimentaire	a ɡ ʁ o a l i m ɑ̃ t ɛ ʁ
agrès	a ɡ ʁ ɛ
agré	a ɡ ʁ e
agréable	a ɡ ʁ e a b l
agréablement	a ɡ ʁ e a b l ə m ɑ̃
agréables	a ɡ ʁ e a b l
agréait	a ɡ ʁ e ɛ
agrée	a ɡ ʁ e
agrée-t-elle	a ɡ ʁ e t ɛ l
agréer	a ɡ ʁ e e
agrégation	a ɡ ʁ e ɡ a s j ɔ̃
agrégations	a ɡ ʁ e ɡ a s j ɔ̃
agrégé	a ɡ ʁ e ʒ e
agrégée	a ɡ ʁ e ʒ e
agrégés	a ɡ ʁ e ʒ e
agrément	a ɡ ʁ e m ɑ̃
agréments	a ɡ ʁ e m ɑ̃
agrémenté	a ɡ ʁ e m ɑ̃ t e
agrémentée	a ɡ ʁ e m ɑ̃ t e
agrémentées	a ɡ ʁ e m ɑ̃ t e
agréât	a ɡ ʁ e a
agréé	a ɡ ʁ e e
agréés	a ɡ ʁ e e
aguerri	a ɡ ɛ ʁ i
aguerrie	a ɡ e ʁ i
aguerris	a ɡ e ʁ i
aguets	a ɡ ɛ
aguiché	a ɡ i ʃ e
aguilon	a ɡ i l ɔ̃
agée	a ʒ e
agées	a ʒ e
agénor	a ʒ e n ɔ ʁ
ah	a
aha	a a
ahah	a a
ahead	a ɛ d
ahm	a m
ahmed	a m ɛ d
ahmet	a m ɛ t
ahrr	a ʁ ʁ
ahuillé	a y i j e
ahun	a œ̃
ahuri	a y ʁ i
ahurie	a y ʁ i
ahuris	a y ʁ i
ahurissant	a y ʁ i s ɑ̃
ahurissantes	a y ʁ i s ɑ̃ t
ahurissement	a y ʁ i s m ɑ̃
ai	e
ai-je	ɛ ʒ
aid	ɛ d
aida	ɛ d a
aidaient	ɛ d ɛ
aidais	ɛ d ɛ
aidait	ɛ d ɛ
aidant	ɛ d ɑ̃
aidants	ɛ d ɑ̃
aide	ɛ d
aide-de-camp	ɛ d d ə k ɑ̃
aide-moi	ɛ d m w a
aide-mémoire	ɛ d m e m w a ʁ
aide-soignante	ɛ d s w a ɲ ɑ̃ t
aident	ɛ d
aider	e d e
aidera	ɛ d ə ʁ a
aiderai	ɛ d ə ʁ e
aiderais	ɛ d ə ʁ ɛ
aiderait	ɛ d ə ʁ ɛ
aideras	ɛ d ə ʁ a
aiderons	ɛ d ə ʁ ɔ̃
aideront	ɛ d ə ʁ ɔ̃
aides	ɛ d
aides-de-camp	ɛ d d ə k ɑ̃
aides-soignantes	ɛ d s w a ɲ ɑ̃ t
aides-soignants	ɛ d s w a ɲ ɑ̃
aidez	ɛ d e
aidez-la	ɛ d e l a
aidez-moi	ɛ d e m w a
aidez-nous	ɛ d e n u
aidiez	ɛ d j e
aidât	ɛ d a
aidé	ɛ d e
aidée	ɛ d e
aidées	ɛ d e
aidés	ɛ d e
aie	ɛ
aient	ɛ
aients	ɛ ɑ̃
aies	ɛ
aigle	ɛ ɡ l
aigles	ɛ ɡ l
aigles-siffleurs	ɛ ɡ l ə s i f l œ ʁ
aiglun	ɛ ɡ l œ̃
aignan	ɛ ɲ ɑ̃
aigre	ɛ ɡ ʁ
aigrefeuille	ɛ ɡ ʁ ə f œ j
aigrefeuille-sur-maine	ɛ ɡ ʁ ə f œ j s y ʁ m ɛ n
aigrefins	ɛ ɡ ʁ ə f ɛ̃
